상점 이름,위도,경도,지번주소,도로명주소
비야(고대본점),37.58748226,127.0294558,,서울특별시 성북구 개운사길 22-3
비야(도스마스 옆),,,,
샐러데이,37.58839056,127.0290576,,서울특별시 성북구 개운사길 45
서울쌈냉면,37.5874824,127.0288761,,서울특별시 성북구 개운사길 21-4
설성번개반점,37.58665319,127.0300714,,서울특별시 성북구 인촌로27길 6
수오재,37.58649469,127.0297679,,서울특별시 성북구 인촌로27길 3
스시 TORO,,,,
신의주찹쌀순대,37.58752559,127.0291026,,서울특별시 성북구 개운사길 27
썬더치킨,37.58811296,127.0294289,,서울특별시 성북구 개운사길 38
아임찜닭,37.58734525,127.0296686,,서울특별시 성북구 개운사길 22-6
안암밥집,,,,
알촌,37.58722266,127.029904,,서울특별시 성북구 인촌로27길 20
어부삼대,37.58729493,127.0291387,,서울특별시 성북구 개운사길 19 만석가 빌딩
엄마손식당,,,,
옛날수제왕돈까스,37.58672533,127.0298133,,서울특별시 성북구 인촌로27길 9
옥두헌 순두부,37.58712907,127.0294647,,서울특별시 성북구 개운사길 18 淸坪
용초수,37.58722266,127.029904,,서울특별시 성북구 인촌로27길 20
용초수만두,37.58687672,127.0297545,,서울특별시 성북구 인촌로27길 13
원조 닭한마리,,,,
육개장 갈비탕,37.58722987,127.0298995,,서울특별시 성북구 안암동5가 12-70
일미옥,37.58734525,127.0296686,,서울특별시 성북구 개운사길 22-6
절대분식,37.58699926,127.0297092,,서울특별시 성북구 인촌로27길 15
철판남매(정대후문점),37.58749304,127.0295871,,서울특별시 성북구 개운사길 22-5
청석골뼈다귀,37.58687672,127.0297545,,서울특별시 성북구 인촌로27길 13
춘천골닭갈비,37.58721911,127.0296731,,서울특별시 성북구 인촌로27길 19
치즈를 사랑한 찜닭,37.58730579,127.0289258,,서울특별시 성북구 개운사길 21-3 2층
케밥집,,,,
탄,37.58749301,127.0296868,,서울특별시 성북구 인촌로27길 25
토담,37.58704243,127.0300263,,서울특별시 성북구 인촌로27길 14-4
파파스샐러드,37.58651247,127.0306963,,서울특별시 성북구 인촌로 101 2층
하노이별,37.58666062,127.0291656,,서울특별시 성북구 개운사길 5 세한빌딩
하이솟대,37.58840128,127.0294109,,서울특별시 성북구 개운사길 42-3
한솥도시락(정후),37.58732729,127.029424,,서울특별시 성북구 개운사길 22-2 상희빌딩
화덕피자주는 부대찌개,37.58650531,127.0305242,,서울특별시 성북구 인촌로 99 주니퍼빌딩
후문식당,37.58704243,127.0300263,,서울특별시 성북구 인촌로27길 14-4
A Person,37.58650918,127.0294735,,서울특별시 성북구 개운사길 2 지하1층
정상호프,37.58650918,127.0294735,,서울특별시 성북구 개운사길 2
주유소(2층),37.58721911,127.0296731,,서울특별시 성북구 인촌로27길 19
주유소(지하),37.58735601,127.0298996,,서울특별시 성북구 인촌로27길 24-2
BUBBLE,37.58649802,127.0308231,,서울특별시 성북구 인촌로 103
LOFT,,,,
거품,,,,
마르니,37.5865379,127.02994,,서울특별시 성북구 인촌로27길 5
유객주,37.58699209,127.0295779,,서울특별시 성북구 개운사길 8 타이거빌딩
103 Express,37.58734525,127.0296686,,서울특별시 성북구 개운사길 22-6
14gram,37.58677215,127.0299401,,서울특별시 성북구 안암동5가 100-1
Caf? B1,37.58749301,127.0296868,,서울특별시 성북구 인촌로27길 25
Caf? C,,,,
GOOD NEWS,,,,
MIN TEA,37.58730579,127.0289258,,서울특별시 성북구 개운사길 21-3 1층
SWEET CAF?,37.58650918,127.0294735,,서울특별시 성북구 개운사길 2 지하1층
나이茶,37.58643701,127.0298222,,서울특별시 성북구 인촌로 93
나인헤르츠,,,,
놀숲,37.58693442,127.0295914,,서울특별시 성북구 안암동5가 101-3 4층
달콤,,,,
달팽이,,,,
더 힐링,37.58732729,127.029424,,서울특별시 성북구 개운사길 22-2 상희빌딩
더베리와플,37.58749304,127.0295871,,서울특별시 성북구 개운사길 22-5
더스터디,37.58666062,127.0291656,,서울특별시 성북구 개운사길 5 세한빌딩 4층
디어브레드,37.58732387,127.0287085,,서울특별시 성북구 개운사1길 29
레쓰이즈모어,,,,
보헤미안,37.58748226,127.0294558,,서울특별시 성북구 개운사길 22-3
빈트리,,,,
빽다방,37.58665319,127.0300714,,서울특별시 성북구 인촌로27길 6
아눅,37.58867519,127.0293702,,서울특별시 성북구 개운사길 52
아임빈,37.5888771,127.029017,,서울특별시 성북구 개운사길 57-3
이디야커피,37.58768408,127.0294378,,서울특별시 성북구 개운사길 30
카카오츄로,37.58699926,127.0297092,,서울특별시 성북구 인촌로27길 15
커피나무,37.58780671,127.0290891,,서울특별시 성북구 개운사길 31 코원빌딩
